"","LOC NO","LOC STREET","LOC CITY","LOC STATE","LOC ZIP","DBA","FEIN/SSN","LIC TEXT2 (LIC 1)","CHG 1 DESC (LIC 1)","CHG 1 LONG DESC (LIC 1)","CYCLE CODE (LIC 2)","CYCLE DESC (LIC 2)","LIC TEXT1 (LIC 2)","LIC TEXT2 (LIC 2)","LIC TEXT4 (LIC 2)","CYCLE DESC (LIC 3)","LIC TEXT2 (LIC 3)","CHG 1 DESC (LIC 3)","CHG 1 LONG DESC (LIC 3)","CYCLE CODE (LIC 4)","CYCLE DESC (LIC 4)","LIC TEXT1 (LIC 4)","LIC TEXT2 (LIC 4)","LIC TEXT4 (LIC 4)","CYCLE CODE (LIC 5)","CYCLE DESC (LIC 5)","LIC TEXT1 (LIC 5)","LIC TEXT2 (LIC 5)","QTY STAT CD (LIC 5)","address...30","lon","lat","address...33"
"286",1747,"IRISH INDIAN","JOLIET","IL",60436,"U.S. GAIN","39-0964014","GAS STATION","GAS STATN","GAS STATION LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","GAS STATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1747 IRISH INDIAN JOLIET IL 60436",-88.1410528,41.4906268,"1747 irish indian trail, joliet, il 60436, usa"
"287",805,"KELLY","JOLIET","IL",60435,"TORTILLERIA ROSITA","47-4192926","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,NA,NA,NA,NA,NA,"805 KELLY JOLIET IL 60435",-88.1003842,41.5379476,"805 kelly ave, joliet, il 60435, usa"
"288",3235,"NORMAN","JOLIET","IL",60431,"COMFORT INN NORTH JOLIET","45-5360325","HOTEL/MOTEL","HOTEL 2","HOTEL/MOTEL LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","HOTEL/MOTEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3235 NORMAN JOLIET IL 60431",-88.163587,41.582969,"3235 norman ave, joliet, il 60431, usa"
"289",3043,"THEODORE","JOLIET","IL",60435,"DONUT DEN","80-0421564","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,NA,NA,NA,NA,NA,"3043 THEODORE JOLIET IL 60435",-88.1578247,41.5514482,"3043 theodore st, joliet, il 60435, usa"
"290",0,"OUT OF AREA",NA,NA,NA,"JONES SIGN CO INC",NA,"SIGN ERECTOR","SIGN ERECT","SIGN ERECTOR LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 OUT OF AREA NA NA NA",NA,NA,NA
"291",0,"OUT OF AREA",NA,NA,NA,"CARLOS ALL WEATHER SERVICE INC",NA,"HVAC","HVAC LICEN","HVAC LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 OUT OF AREA NA NA NA",NA,NA,NA
"292",0,"OUT OF AREA",NA,NA,NA,"MORFOOT CONSTRUCTION HVAC",NA,"HVAC","HVAC LICEN","HVAC LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 OUT OF AREA NA NA NA",NA,NA,NA
"293",160,"CENTER","JOLIET","IL",60436,"D'BRAVO AUTO REPAIR","81-0798611","SECOND HAND SALES","2ND HND SL","SECOND HAND SALES LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","PUBLIC GARAGE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"160 CENTER JOLIET IL 60436",-88.090744,41.5202202,"160 s center st, joliet, il 60436, usa"
"294",457,"CASS","JOLIET","IL",60432,"DOLLAR TREE STORES 06087","54-1387365","FOOD STORE","FOOD STORE","FOOD STORE LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"457 CASS JOLIET IL 60432",-88.0706083,41.5284912,"457 e cass st, joliet, il 60432, usa"
"295",2410,"JEFFERSON","JOLIET","IL",60435,"WINGSTOP","47-5085195","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"LIQ","LIQUOR LICENSE","LIQUOR LICENSE","CLASS D PREMISES-BEER & WINE",NA,"2410 JEFFERSON JOLIET IL 60435",-88.1422916,41.5216665,"2410 w jefferson st, joliet, il 60435, usa"
